pl_name,pl_orbsmax,pl_rade,pl_orbeccen,pl_insol,st_teff,st_rad,st_mass,st_lum,sy_dist,sy_snum,sy_pnum,disc_year
Kepler-1979 b,0.1383,29.33,0.0,51.32,5942.0,0.938,1.028,,1076.27,1,1,2023
HAT-P-53 b,0.03159,14.773462,0.134,,5956.0,1.209,1.093,0.21748,666.802,1,1,2015
HD 118203 b,0.0713,12.778238,0.3136,,5742.0,2.04,1.27,,92.2589,1,2,2005
Kepler-1735 b,,1.19429134,,,3975.0,0.509,0.535,,245.303,1,1,2021
OGLE-2015-BLG-0051L b,0.73,,,,,,0.1,,8200.0,1,1,2016
USco1621 b,2880.0,,,,3460.0,,0.36,-1.02,137.901,1,1,2019
Kepler-380 c,0.078,1.27,,,6045.0,1.224,,,813.713,1,2,2014
HD 4732 c,4.725,,0.187,,4898.0,5.03,1.39,1.11826,54.7841,2,2,2012
NGTS-14 A b,0.0403,4.976796,0.0,,5187.0,0.842,0.898,,322.148,2,1,2021
Kepler-1991 b,0.1065,1.47,0.0,78.79,5478.0,1.053,0.914,,855.82,1,2,2023
Kepler-738 b,,2.5,,,5327.0,0.82,0.86,,1113.65,1,1,2016
HD 209458 b,,15.58051,0.0,,6091.0,1.19,1.23,,48.3016,1,1,1999
KOI-351 g,0.71,8.1,,,6080.0,1.2,1.2,,848.254,1,8,2013
Kepler-323 b,0.02778,1.381,0.095,1900.0,6004.0,1.12,1.015,,454.883,1,2,2014
HD 110067 f,0.2163,2.601,,,5266.0,0.788,0.798,,32.1585,3,6,2023
TOI-163 b,0.058,16.690201,0.0,,6495.0,1.648,1.4352,0.63649,411.719,1,1,2019
Kepler-110 b,0.107,1.83,,,5960.0,1.149,,,586.531,1,2,2014
30 Ari B b,0.99,,0.29,,6331.0,1.41,1.93,,44.657,4,1,2009
GJ 3988 b,0.0405,,0.0,2.45,3273.0,0.19734,0.1842,-2.39513,9.9105,1,1,2023
WTS-2 b,0.01855,15.277867,0.0,,5000.0,0.752,0.82,,,1,1,2014
Kepler-268 b,0.18,2.55,,,6081.0,1.274,,,851.87,1,2,2014
Kepler-1958 b,,2.05124311,,,5749.0,0.864,0.961,,1320.38,1,1,2021
HD 133131 A c,4.49,,0.49,,5799.0,,0.95,,51.4736,2,3,2016
Kepler-716 c,,1.39281536,,,5012.0,0.742183,0.83,-0.50424,635.009,1,2,2020
WASP-153 b,0.048,17.37395,0.009,1400.0,5914.0,1.73,1.336,,610.176,1,1,2017
Kepler-853 b,,1.69,,,6350.0,1.55,1.3,,568.676,1,1,2016
TOI-771 c,0.046,,0.065,3.0,3370.0,0.232,0.22,-2.20343,25.2788,1,2,2025
HD 72659 b,4.691,,0.257,,,,1.09,,51.8949,1,2,2002
HAT-P-46 b,0.0577,14.392,0.123,,6120.0,1.396,1.284,0.391,290.736,1,1,2014
TOI-2458 c,0.129,,0.29,,6005.0,1.31,1.05,,112.958,1,2,2024
HATS-64 b,0.06562,18.819911,0.151,1711.0,6554.0,2.113,1.564,0.86747,1080.15,1,1,2018
Kepler-857 b,,6.8,,,5773.0,0.99,0.99,,983.502,1,1,2016
Kepler-665 b,,2.6,,,4913.0,0.74,0.79,,612.838,1,1,2016
Kepler-634 b,,1.89,,,6075.0,1.24,1.03,,888.027,1,1,2016
WASP-160 B b,0.0452,12.21781,0.0,,5298.0,0.868,0.87,,288.326,2,1,2018
HD 134606 c,0.3007,,0.055,,5576.0,1.158,1.046,0.06483,26.7909,1,5,2024
K2-201 c,,3.28568401,,,5507.0,0.878161,0.956055,,197.932,1,2,2018
Qatar-4 b,0.02803,12.722215,0.0,614.0,5215.0,0.849,0.896,-0.31785,329.036,1,1,2017
K2-189 b,0.0361,1.52,,,5519.0,0.87,0.94,,242.113,1,2,2018
Kepler-208 e,0.132,1.48,,,6092.0,1.314,,,775.328,1,4,2014
HD 100546 b,53.0,77.3421,,,10500.0,,2.4,1.5,109.677,1,1,2014
Kepler-1705 c,,2.05,0.028,,6312.0,1.259,1.139,0.35411,1633.49,1,2,2021
Kepler-1380 b,,1.43,,,5570.0,0.94,0.96,,2462.94,1,1,2016
Kepler-1621 b,,2.16,,,6158.0,1.24,1.15,,1631.66,1,1,2016
K2-19 c,,4.1,0.21,,5322.0,0.82,0.88,,289.827,1,3,2015
Kepler-381 d,,1.0667865,,,6197.0,2.188,1.198,,267.323,1,3,2021
KMT-2018-BLG-0748L b,0.62,,,,,,0.087,,7300.0,1,1,2020
TOI-1260 d,0.1116,3.12,0.0,10.32,4227.0,0.672,0.679,-0.88941,73.5977,1,3,2022
Kepler-240 b,0.048,1.37,,,4985.0,0.739,,,746.927,1,2,2014
HD 39855 b,0.041,,0.14,,5576.0,,0.87,,23.2599,1,1,2019
HIP 65891 b,2.794,,0.128,,,,2.49,,150.292,1,1,2015
Kepler-124 c,0.1,1.75,,,4984.0,0.636,,,420.046,1,3,2014
KMT-2021-BLG-0171L b,3.5,,,,5200.0,,0.78,,4600.0,1,1,2022
Kepler-1731 b,,2.93295657,,,4859.0,0.72,0.781,,169.948,1,1,2021
Kepler-673 b,,6.54,,,5355.0,0.84,0.88,,918.21,1,1,2016
GJ 3021 b,0.49,,0.511,,5540.0,0.9,0.9,-0.18,17.5559,2,1,2000
Kepler-1520 b,,5.77,,,4677.0,0.71,0.76,,607.917,1,1,2016
K2-37 b,0.0511,1.61,,213.3,5413.0,0.85,0.9,,179.943,1,3,2016
TOI-2196 b,0.02234,3.51,0.0,2000.0,5634.0,1.043,1.032,-0.00436,259.947,1,1,2022
Kepler-1250 b,,1.92,,,5717.0,0.98,0.99,,2126.85,1,1,2016
Kepler-1282 b,,1.55,,,5504.0,0.89,0.92,,1103.29,1,1,2016
K2-124 b,0.049,2.9,,,3570.0,0.388,0.39,,140.385,1,1,2017
PDS 70 b,20.0,30.48848,0.19,,3972.0,,,,113.064,1,2,2018
Kepler-84 c,,2.36,,,,1.43,1.0,,1023.9,1,5,2012
Kepler-818 b,,5.11,,,5638.0,0.92,0.94,,925.037,1,1,2016
HD 100777 b,1.06,,0.38,,,,1.08,,49.5336,1,1,2007
TOI-2485 b,0.1093,12.1393261,0.0341,275.6,,1.72,1.163,0.51983,397.953,1,1,2024
Kepler-168 c,0.116,2.69,,,6282.0,1.107,,,1343.6,1,2,2014
Kepler-1426 b,,1.56,,,5831.0,1.02,1.02,,1697.81,1,1,2016
HD 73344 c,0.3388,,0.124,,6148.0,1.22,1.19,,35.26,1,3,2025
OGLE-2011-BLG-0173L b,8.0,,,,,,0.41,,6100.0,1,1,2018
K2-381 b,,1.075,,,4473.0,0.675,0.754,,145.701,1,3,2022
Kepler-385 b,0.097,2.73,,,6326.0,1.126,,,1432.61,1,3,2014
Kepler-1586 b,,1.52,,,6681.0,1.75,1.45,,552.55,1,1,2016
Kepler-1992 b,0.1169,0.91,0.0,38.99,5383.0,0.842,0.874,,532.955,1,1,2023
KOI-351 b,0.074,1.31,,,6080.0,1.2,1.2,,848.254,1,8,2013
HATS-55 b,0.05412,14.022459,0.092,,6214.0,1.126,1.1955,0.22891,609.838,1,1,2019
K2-242 b,0.0494,2.54,,,3459.0,0.37,0.38,,109.237,1,1,2018
Kepler-1065 b,,3.73,,,5635.0,0.93,0.94,,1122.48,1,2,2016
HD 106252 b,2.61,,0.48,,5874.0,1.1,1.01,,38.185,1,1,2002
Kepler-590 b,,4.02,,,6000.0,1.15,1.1,,1421.81,1,1,2016
WASP-105 b,0.075,10.76064,0.0,,5070.0,0.9,0.89,,169.272,1,1,2017
K2-207 b,,2.60585269,,,5522.0,0.928158,0.941851,,363.064,1,1,2018
Kepler-1634 b,,3.19,,,5474.0,0.89,0.92,,617.339,1,1,2016
K2-117 c,0.0492,2.06,,,3778.0,0.51,0.54,,101.632,1,2,2017
HD 134987 b,0.81,,0.23,,5736.0,1.22,1.1,,26.1804,1,2,1999
Kepler-239 b,0.095,2.33,,,4914.0,0.763,,,648.109,1,2,2014
OGLE-2012-BLG-0406L b,3.45,,,,,,0.44,,4970.0,1,1,2013
2MASS J01225093-2439505 b,52.0,,,,3530.0,,0.4,-1.72,33.8281,1,1,2013
Kepler-774 b,,3.17,,,6403.0,2.42,1.57,,917.804,1,1,2016
Kepler-1345 b,,2.36,,,6449.0,1.55,1.32,,1355.02,1,1,2016
Kepler-1862 b,,2.203,,,5644.0,0.806,0.9,,1232.19,1,1,2021
KELT-1 b,0.02466,12.442,0.0099,,6516.0,1.471,1.335,0.545,268.43,1,1,2012
TOI-954 b,0.04963,9.550068,0.14,1393.0,5710.0,1.892,1.201,0.53529,238.768,1,1,2020
Kepler-366 b,0.045,1.46,,,6209.0,1.048,,,1856.28,1,2,2014
CoRoT-24 b,0.056,3.7,0.0,,4950.0,0.86,0.91,,591.555,1,2,2014
Kepler-1903 b,,2.28642395,,,6347.0,0.996,1.053,,1775.44,1,1,2021
K2-217 b,,3.57854073,,,5967.0,1.333718,1.102661,,381.878,1,1,2018
K2-276 b,0.1291,3.77,,,5139.0,0.85,0.82,,488.152,1,1,2018
HD 219828 c,5.657,,0.811,,,,1.04,,73.114,1,2,2016
HD 102195 b,0.05,,0.0,,5301.0,0.82,0.76,,29.3386,1,1,2006
KOI-142 b,,3.438,0.05561,,5466.0,0.897,0.99,,376.863,1,3,2013
Kepler-38 b,0.4632,4.3,0.032,,5623.0,1.752,0.941,,1174.59,2,1,2012
HD 204313 c,0.211,,0.059,,,,1.03,,47.7945,1,3,2015
Qatar-8 b,0.0474,14.403565,0.0,,5738.0,1.315,1.029,0.22789,281.498,1,1,2019
MOA-2013-BLG-220L b,3.03,,,,,,0.88,,6720.0,1,1,2014
Kepler-271 d,,0.66,,,5555.0,0.87,0.9,,404.542,1,3,2016
Kepler-1848 b,,1.4088539,,,4847.0,0.737,0.756,,309.696,1,1,2021
TOI-178 d,0.0592,2.572,,,4316.0,0.651,0.65,-0.87943,62.699,1,6,2021
GJ 357 d,0.204,,,0.38,3505.0,0.337,0.342,-1.79833,9.44181,1,3,2019
Kepler-318 c,0.105,3.68,,,5746.0,1.189,,,489.141,1,2,2014
KELT-24 b,0.0665,12.71098411,0.0319,624.0,6426.0,1.338,1.268,0.43933,96.5173,2,1,2019
OGLE-2019-BLG-0299L b,2.8,,,,,,0.59,,5830.0,1,1,2021
WASP-110 b,,13.87671811,0.0,,5400.0,,,,274.96,1,1,2021
HD 4732 b,1.129,,0.266,,4898.0,5.03,1.39,1.11826,54.7841,2,2,2012
Kepler-198 b,0.131,2.82,,,5574.0,0.94,,,495.358,1,3,2014
K2-167 b,0.0932,2.36509493,0.48,,6310.0,1.499,1.084,0.50651,80.8994,1,1,2018
Kepler-1271 b,,1.48,,,6143.0,1.23,1.13,,831.991,1,1,2016
TOI-942 b,0.04866,3.89,0.34,,,0.894,0.822,,152.601,3,2,2020
HD 10180 g,1.427,,0.263,,5911.0,1.109,1.06,,38.9607,1,6,2010
Kepler-451 d,,,0.0,,29564.0,0.203,0.48,,396.332,2,3,2022
Kepler-129 c,0.39,2.52,,,5770.0,1.653,1.178,,408.845,1,3,2014
K2-17 b,0.119,2.23,,,4320.0,0.66,0.71,,125.106,1,1,2015
OGLE-2018-BLG-0977L b,2.0,,,,,,0.47,,6500.0,1,1,2022
TOI-2180 b,0.828,11.32107051,0.3683,2.71,5695.0,1.636,1.111,0.40552,116.685,1,1,2022
Kepler-1192 b,,2.36,,,5438.0,0.83,0.86,,1304.19,1,1,2016
OGLE-2017-BLG-0482L b,1.8,,,,,,0.2,,5800.0,1,1,2018
Kepler-224 d,0.089,2.3,,,5018.0,0.676,,,782.088,1,4,2014
TOI-1937 A b,0.01932,13.97759893,0.0,3230.0,5814.0,1.08,1.072,0.0799,415.135,2,1,2023
Kepler-212 c,0.207,2.74,,,5852.0,1.455,,,687.194,1,2,2014
TYC 4282-00605-1 b,0.422,,0.28,,4300.0,16.21,0.97,1.91,464.128,1,1,2017
Kepler-301 b,0.036,1.35,,,5815.0,0.9,,,719.166,1,3,2014
WASP-116 b,0.065,13.67495645,0.0,663.0,6250.0,1.426,1.25,,559.243,1,1,2025
Kepler-1999 b,0.0713,3.29,0.0,26.17,4406.0,0.628,0.632,,701.255,1,1,2023
Kepler-605 c,,0.86,,,5462.0,0.88,0.91,,556.58,1,2,2016
OGLE-2014-BLG-1760L b,1.75,,,,,,0.51,,6860.0,1,1,2016
K2-384 e,,1.345,,,3623.0,0.348,0.33,,82.6603,1,5,2022
TOI-6054.01,0.078513,2.642,,529.21,6112.0,1.612,1.15,,79.407,1,2,2024
HD 133131 B b,6.15,,0.61,,5805.0,,0.93,,51.2993,2,3,2016
Kepler-1562 b,,3.55,,,5760.0,1.05,1.02,,2060.72,1,1,2016
KMT-2021-BLG-2010L b,1.79,,,,,,0.37,,7090.0,1,1,2023
Kepler-1488 b,,1.86,,,5820.0,1.31,1.05,,905.825,1,2,2016
HD 30177 b,3.604,,0.207,,,,0.98,,55.5867,1,2,2002
Kepler-1976 b,0.0565,12.21,0.0,349.4,5712.0,1.082,0.976,,1314.51,1,1,2023
Kepler-1981 b,1.3292,9.23,0.0,5.45,5874.0,3.006,1.519,,659.395,1,1,2023
TOI-406 c,0.0322,1.32,0.032,19.0,3392.0,0.41,0.408,-1.71444,31.0597,1,2,2024
HD 18599 b,0.048,2.6,0.34,,5145.0,0.767,0.863,-0.42946,38.5653,2,1,2022
Kepler-1270 b,,3.32,,,5047.0,3.38,1.28,,1095.05,1,1,2016
HD 221420 b,10.1,,0.12,,,,1.34,,31.1415,1,1,2019
Kepler-457 d,,2.98467257,,,6474.0,1.242,1.148,,1072.3,1,3,2021
Pr0201 b,0.06,,0.0,,6174.0,1.15,1.24,,180.64,1,1,2012
Kepler-112 c,0.172,2.4,,,5544.0,0.841,,,513.206,1,2,2014
Kepler-960 b,,2.29,,,4755.0,0.72,0.77,,284.916,1,1,2016
K2-195 b,0.1208,3.13,,,5713.0,0.99,0.94,,315.014,1,2,2018
HATS-27 b,0.0611,16.8135,0.581,,6438.0,1.74,1.415,0.66932,816.988,1,1,2016
K2-231 b,,2.5,,,5695.0,0.95,1.01,,321.215,1,1,2018
Kepler-1100 b,,1.75,,,6247.0,1.34,1.21,,693.618,1,1,2016
TOI-858 B b,0.04435,14.06727078,0.15,908.9,5842.0,1.308,1.081,0.25285,250.489,2,1,2023
HAT-P-2 c,,,0.37,,,,1.33,,127.774,1,2,2023
Kepler-96 b,,2.67,,,5690.0,1.02,1.0,,122.881,1,1,2014
KELT-11 b,0.0623,15.13212395,0.0,,5375.0,2.69,1.44,,99.1596,1,1,2017
TOI-2184 b,,11.39953337,0.08,1429.0,5966.0,2.9,1.53,,788.317,1,1,2022
Kepler-481 b,,2.5,,,5802.0,1.09,1.01,,813.724,1,1,2016
Kepler-786 b,,2.43,,,4838.0,0.74,0.81,,485.318,1,1,2016
Kepler-1015 b,,3.55,,,6769.0,1.81,1.49,,739.357,1,1,2016
K2-342 b,,2.03,,,5920.0,1.09,1.01,,208.357,1,1,2021
K2-148 b,0.0454,1.33,,48.8,4079.0,0.632,0.65,-0.99568,124.458,2,3,2018
Kepler-757 b,,1.36,,,6014.0,1.13,1.08,,1068.68,1,1,2016
KOI-4978 b,,0.7,,,5050.28,0.966,0.859,,936.341,1,1,2024
K2-129 b,0.057,1.04,0.13,4.5,3459.09,0.36001,0.360031,,27.7957,1,1,2017
TIC 279401253 b,0.369,11.2089807,0.448,,5951.0,1.06,1.13,0.09691,285.584,1,2,2023
WASP-10 b,0.03781,12.106,,,4675.0,0.698,0.75,,140.998,1,1,2008
K2-263 b,0.2573,2.41,0.15,8.17,5368.0,0.85,0.88,,162.481,1,1,2018
Kepler-207 b,0.029,1.57,,,5920.0,1.588,,,875.519,1,3,2014
HIP 79431 b,0.36,,0.29,,3191.0,,0.49,,14.5324,1,1,2009
WASP-167 b,0.0365,17.71022,,,7000.0,1.79,1.59,,423.552,1,1,2017
TOI-286 b,0.0503,1.42,0.0,,5152.0,0.78,0.832,-0.41364,59.2293,1,2,2024
Kepler-461 b,,2.58,,,5634.0,0.91,0.98,,692.158,1,1,2016
HD 73344 b,0.131,2.884,0.03,,6252.6,1.22,1.2,,35.26,1,3,2024
Kepler-963 c,,0.6,,,5169.47,0.928,0.821,,771.494,1,2,2024
Kepler-1656 c,3.053,,0.527,,,1.1,1.03,,185.875,1,2,2022
TOI-3785 b,0.043,5.14,0.11,19.1,3576.0,0.5,0.52,-1.43533,79.7634,1,1,2023
HD 7199 b,1.36,,0.19,,5371.0,0.97,0.77,,36.1531,1,1,2011
Kepler-154 f,,1.5,,,5769.0,0.98,0.98,,915.212,1,5,2016
HATS-34 b,0.03166,16.02887,0.108,,5380.0,0.98,0.955,-0.14026,508.842,1,1,2016
HD 160691 d,,,,,5773.0,1.33,1.13,,15.5981,1,4,2004
Kepler-145 c,,4.32,,,,1.85,1.32,,566.85,1,2,2013
Kepler-369 c,0.094,1.41,,,3591.0,0.471,,,,1,2,2014
TOI-3353.01,0.060118218,2.6667555,,313.0426,6365.0,1.0207,1.332089,,78.7577,1,1,2024
Kepler-1075 b,,1.42,,,3959.0,0.54,0.56,,291.275,1,1,2016
WASP-90 b,0.0562,18.27067,0.0,,6430.0,1.98,1.55,,466.433,1,1,2016
Kepler-1543 b,,2.71,,,6561.0,1.65,1.39,,921.784,1,1,2016
KOI-1599.02,0.112293,1.9,0.0114,,,0.972,1.02,,1131.64,1,2,2019
OGLE-2005-BLG-390L b,2.6,,,,,,0.22,,6600.0,1,1,2005
HD 164922 b,2.16,,0.08,,5390.0,0.946,0.926,-0.14874,22.0016,1,4,2005
TOI-5126 b,0.06519,4.74,0.0,467.0,6150.0,1.241,1.24,0.29885,160.414,1,2,2023
Kepler-347 b,0.11,1.97,,,6088.0,1.005,,,1298.88,1,3,2014
Kepler-372 c,0.154,2.09,,,6509.0,1.137,,,1493.95,1,3,2014
HIP 97233 b,2.491,,0.63,,,,1.81,,102.275,1,1,2014
K2-33 b,,5.04,0.0,,3540.0,1.05,0.56,-0.82391,139.268,1,1,2016
tau Cet g,0.133,,0.06,,,,0.783,,3.60304,1,4,2017
Kepler-490 b,,11.65,,,6045.0,1.12,1.08,,1523.0,1,1,2016
KIC 10525077 b,,5.5,,,6091.0,1.01,1.01,,1461.15,1,1,2015
HD 108236 f,0.1758,2.017,0.051,,5660.0,0.877,0.869,-0.14997,64.5978,1,5,2021
alf Tau b,1.46,,0.1,,4055.0,45.1,1.13,,20.4332,2,1,2015
Kepler-1878 b,,2.92019781,,,5918.0,0.865,0.956,,1494.3,1,1,2021
HD 140901 b,0.085,,0.472,,,,0.99,,15.2528,1,2,2022
Kepler-1519 b,,7.06,,,5644.0,0.91,0.94,,1441.63,1,1,2016
Kepler-306 b,0.05,1.52,,,4954.0,0.719,,,775.679,1,4,2014
HD 150010 b,1.4,,0.2,,4153.0,16.2,1.3,1.98227,144.49,1,1,2022
HD 148164 b,0.993,,0.587,,6032.0,1.34,1.21,0.33,77.1971,1,2,2018
HD 7924 b,0.06,,0.06,,5131.0,0.78,0.65,,16.9922,1,3,2008
Kepler-817 b,,9.03,,,5861.0,1.03,1.03,,1484.46,1,1,2016
K2-4 b,0.078,2.1,0.08,15.6,4014.73,0.569359,0.635026,,231.828,1,1,2015
Kepler-84 e,0.181,2.6,,,6031.0,1.169,,,1023.9,1,5,2014
Kepler-1275 b,,1.48,,,6296.0,1.36,1.23,,1153.98,1,1,2016
HD 196067 b,5.02,,0.66,,6017.0,1.73,1.29,0.572,39.9346,2,1,2012
Kepler-439 b,0.563,2.24,0.03,1.83,5431.0,0.866,0.884,-0.236,757.048,1,1,2015
TOI-880.02,0.034190955,2.7779229,,301.8661,4935.0,0.816999,0.805415,,60.6679,1,1,2024
Kepler-1244 b,,1.35,,,6680.0,1.77,1.46,,1075.81,1,1,2016
Kepler-1076 b,,0.8,,,4868.0,0.74,0.79,,,1,1,2016
Kepler-891 b,,6.41,,,5887.0,1.07,1.06,,2340.58,1,1,2016
Kepler-242 b,0.075,2.61,,,5020.0,0.85,,,600.241,1,2,2014
HIP 57274 d,1.01,,0.27,,4640.0,0.68,0.73,0.19,25.8618,1,3,2011
Kepler-549 b,,2.57,,,5360.0,0.84,0.88,,635.145,1,3,2016
Kepler-1108 b,,1.46,,,5406.0,0.84,0.88,,767.701,1,1,2016
TOI-1601 b,0.069,14.19902343,0.0,,5982.0,2.195,1.5055,0.74772,336.608,1,1,2021
Kepler-388 b,0.036,0.81,,,4498.0,0.586,,,,1,2,2014
Kepler-477 b,,2.07,,,5240.0,0.79,0.87,,,2,1,2016
Kepler-512 b,,2.69,,,5997.0,1.3,1.17,,467.375,1,1,2016
Kepler-1065 c,,1.6,,,5635.0,0.93,0.94,,1122.48,1,2,2016
OGLE-2013-BLG-0341L B b,0.702,,,,,,0.1127,,911.0,2,1,2014
Kepler-716 b,,2.9,,,5099.0,0.78,0.83,,635.009,1,2,2016
TOI-2120 b,0.0377,2.122,0.32,3.61,3131.0,0.245,0.211,-2.28651,32.1755,1,1,2024
Kepler-956 b,,3.0,,,6040.0,1.15,1.1,,544.939,1,1,2016
Kepler-1641 c,,2.95,,,6152.0,1.19,1.12,,860.37,1,2,2016
Kepler-1377 b,,1.25,,,5218.0,0.82,0.86,,1146.1,1,1,2016
HD 50499 b,3.833,,0.266,,6102.0,1.351,1.253,,46.2845,1,2,2005
TOI-1749 d,0.0707,2.52,0.062,,3985.0,0.55,0.58,,99.5561,1,3,2021
Kepler-1670 b,,3.3564801,,,5838.0,1.51889,1.05,0.3828,2065.98,1,1,2020
HD 147873 b,0.522,,0.207,,5972.0,2.29,1.38,0.77743,109.055,2,2,2016
K2-228 b,0.0338,1.21,,,4715.0,0.65,0.71,,129.46,1,1,2018
K2-187 b,,1.2,,,5438.0,0.83,,,330.916,1,4,2018
Kepler-174 c,0.214,1.49,,,4880.0,0.622,,,384.757,1,3,2014
Kepler-630 b,,3.18,,,5829.0,1.04,1.02,,839.784,1,1,2016
Kepler-1448 b,,1.61,,,5774.0,0.93,0.95,,768.903,1,1,2016
Kepler-133 c,0.204,2.84,,,5736.0,1.425,,,653.6,1,2,2014
ups And d,2.51329,,0.2987,,,1.56,1.3,,13.4054,2,3,1999
HD 24040 c,1.3,,0.11,,5776.49,1.387296,1.10394,,46.6224,1,2,2021
Kepler-348 b,0.076,1.52,,,6177.0,1.359,,,570.783,1,2,2014
HAT-P-51 b,0.05042,13.50682174,,310.0,5453.0,0.995,0.961,-0.10237,440.089,1,1,2015
GJ 3473 c,0.0876,,0.0,1.95,3347.0,0.364,0.36,-1.82391,27.3644,2,2,2020
Kepler-321 c,0.11,2.32,,,5740.0,1.194,,,384.542,1,2,2014
Kepler-444 c,0.04881,0.497,0.31,,5046.0,0.752,0.758,,36.4396,3,5,2015
HD 153557 b,0.068,,0.065,,,,0.79,,17.9412,1,3,2022
K2-384 f,,2.222,,,3623.0,0.348,0.33,,82.6603,1,5,2022
Kepler-1252 b,,1.67,,,5949.0,1.09,1.06,,648.979,1,1,2016
Kepler-22 b,0.812,2.1,0.72,1.013,5596.0,0.869,0.857,,194.642,1,1,2011
GJ 887 b,0.068,,0.0,7.95,3688.0,0.4712,0.489,-1.43415,3.29,1,2,2020
Kepler-1939 b,,1.16480773,,,4353.0,0.603,0.648,,189.833,1,1,2021
OGLE-2016-BLG-1093L b,2.13,,,,,,0.46,,8120.0,1,1,2022
WASP-8 b,,12.66617,0.31,,5600.0,1.03,1.34,,89.9606,2,2,2010
iot Dra b,1.453,,0.701,,4504.0,11.79,1.54,1.72247,31.32832,1,2,2002
Kepler-363 b,0.048,1.16,,,5593.0,1.485,,,762.596,1,3,2014
Kepler-1851 b,,3.90012032,,,5982.0,0.879,0.967,,1589.81,1,1,2021
WASP-44 b,0.03453,12.3299,,533.0,5420.0,0.906,0.935,-0.19777,364.512,1,1,2011
TOI-4504 d,0.2219,,0.0445,,5315.0,0.92,0.89,-0.20761,342.605,1,3,2024
Kepler-1216 b,,1.39,,,5743.0,0.98,0.99,,1258.36,1,1,2016
Kepler-243 c,0.142,1.99,,,5228.0,0.842,,,693.86,1,2,2014
MOA-2016-BLG-526L b,2.07,,,,,,0.37,,6930.0,1,1,2024
WASP-157 b,0.0499,11.19,,,5772.0,1.1,1.06,,334.037,1,1,2016
Kepler-418 b,,13.45,0.2,,5820.0,1.09,0.98,,1002.53,1,2,2014
Kepler-234 b,0.04,3.7,,,6224.0,1.113,,,1733.1,1,2,2014
Kepler-388 c,0.093,0.86,,,4498.0,0.586,,,,1,2,2014
HD 20003 b,0.0974,,0.36,,5494.0,,0.875,-0.14267,41.8316,1,2,2019
HD 141004 b,0.1238,,0.16,,5885.38,1.389372,1.051904,,11.8148,1,1,2021
Kepler-993 b,,2.97,,,3843.0,0.54,0.57,,324.423,1,1,2016
HD 207832 c,2.112,,0.27,,5710.0,0.901,0.94,-0.112,58.9291,3,2,2012
Kepler-347 d,0.3802,3.04,0.0,12.75,5592.0,1.451,1.0,,1298.88,1,3,2023
K2-269 b,0.0531,1.57,,,6209.0,1.45,1.16,,360.76,1,1,2018
Kepler-1007 b,,1.44,,,4587.0,0.7,0.73,,,1,1,2016
Kepler-830 b,,1.7,,,6037.0,1.11,1.07,,,1,1,2016
HIP 75092 b,2.02,,0.42,,4891.0,4.53,1.28,1.01995,81.6696,1,1,2021
HD 1605 c,3.584,,0.099,,4915.0,3.49,1.33,0.81,88.8047,1,2,2015
Kepler-1014 b,,2.39,,,5388.0,0.84,0.88,,624.8,1,1,2016
HD 190360 c,0.1304,,0.237,,5549.0,1.16804,0.98,0.06647,16.0069,2,2,2005
Kepler-1950 b,,1.52696349,,,5455.0,0.852,0.759,,697.253,1,1,2021
K2-384 d,,1.392,,,3623.0,0.348,0.33,,82.6603,1,5,2022
Kepler-607 c,,2.76001201,,,5244.0,0.888,0.808,,519.122,1,2,2021
Kepler-920 c,,3.8,,,5403.0,0.85,0.89,,1001.68,1,2,2016
Kepler-1535 b,,2.55,,,6021.0,1.11,1.08,,897.733,1,1,2016
K2-247 c,0.0615,2.19,,,4667.0,0.69,0.74,,258.113,1,2,2018
TOI-1180 b,0.080799,3.072,,36.97,4738.0,0.73,0.75,,72.0238,1,1,2024
Kepler-166 d,,1.73,,,5350.0,0.83,0.88,,603.53,1,3,2016
Kepler-1713 b,,1.71673535,,,6477.0,1.459,1.3,,295.293,1,1,2021
Kepler-82 e,0.063,2.47,,,5428.0,0.945,,,904.326,1,5,2014
Kepler-472 b,,3.22,,,4996.0,0.78,0.85,,306.602,1,1,2016
CFBDSIR J145829+101343 b,2.6,,,,580.5,,0.021,,,1,1,2011
KMT-2018-BLG-2602L b,3.81,,,,,,0.66,,4310.0,1,1,2022
Wolf 1061 c,0.089,,0.11,1.3,3342.0,0.307,0.294,-1.9914,4.30592,1,3,2015
Kepler-914 b,,1.38,,,5877.0,1.15,1.1,,753.723,1,1,2016
2MASS J11550485-7919108 b,587.0,,,,,,,,100.862,1,1,2024
Kepler-1143 b,,1.67,,,5053.0,0.77,0.81,,555.189,1,2,2016
Kepler-188 b,0.032,1.68,,,6021.0,1.141,,,968.544,1,2,2014
Kepler-1269 b,,1.63,,,5998.0,1.15,1.1,,1097.23,1,1,2016
TOI-2328 b,0.127,9.97599282,0.057,,5525.0,0.9,0.95,-0.17005,231.782,1,1,2025
HD 206893 c,3.53,16.36511182,0.41,,,,1.32,,40.7583,1,2,2022
Gaia-4 b,,,0.338,,4034.0,0.624,0.644,-0.99957,73.4829,1,1,2025
WASP-113 b,0.05885,15.793481,0.0,,5890.0,1.608,1.318,,435.156,1,1,2016
OGLE-2013-BLG-1761L b,1.8,,,,,,0.33,,6900.0,1,1,2018
Kepler-1528 b,,1.46,,,5857.0,1.03,1.03,,817.534,1,1,2016
